Location Description,Speed Limit,Reason Code(s),Geo Location (address),Geo Location (city),Geo Location (state),Geo Location (zip)
EB 134 Ave between 43 - 42 St,30,(f),,,,
100 St. SB btwn 160 - 157 Ave.,50,(h),,,,
4 Ave SW btwn 52 -50 St  EB,50,(h),,,,
168 St SB between 92 – 90 Ave,50,"(f), (h)",,,,
NB 101 St between 107A - 108 Ave,50,(h),,,,
WB 127 Ave between 92 - 93 St,60,(h),,,,
NB 84 St between 102 - 105 Ave,50,"(a), (h)",,,,
EB 102 Ave between 138 - 137 St,50,(h),,,,
Millwoods Rd EB between 91 - 87 St,30,(f),,,,
McQueen Rd WB between 142 - 146 St,30,(f),,,,
Whitemud Dr EB at 111 St.,80,(a),,,,
Rutherford Rd SB btwn Rutherford Pt - 17A Ave SW,30,(f),,,,
48 St SB between 18A - 17A Ave,30,(f),,,,
WB 109A Ave Btwn 135-139 St,30,(f),,,,
NB 117 St Btwn 142 - 144 Ave,30,(f),,,,
NB 66 St between 132 - 134 Ave.,50,(h),,,,
106 St SB between 60A - 56 Ave,30,(f),,,,
Whitemud Dr. at Rainbow Valley Bridge,80,(a),,,,
SB 50 St between 124 - 122 Ave,50,(h),,,,
Anthony Henday Dr WB at 17 St,100,(a),,,,
EB 109A Ave Btwn 139 - 135 St,30,(f),,,,
EB 40 Ave E of Granlea Crescent - 57 St,30,(f),,,,
Tamarack Green WB between 13 St - Tamarack Rd,30,(f),,,,
113A St NB between 130 - 132 Ave,50,(h),,,,
EB Millwoods Rd S btwn E of 62 St - W of 54 St,30,(f),,,,
NB Woodvale Rd btwn 58 St - 35 Ave,30,(f),,,,
Anthony Henday Dr. east of 34 St.,100,(a),,,,
132 Ave EB between 72 - 68 St,50,"(a), (h)",,,,
WB Whitemud Dr between 50 - 75 St,50,(g),,,,
112 St NB between 65 - 68 Ave,30,(f),,,,
66 St NB between 159 -161 Ave,60,(c),,,,
NB Mill Woods Rd btwn 28 Ave - S of Lakewood Rd N,30,(f),,,,
WB 114 Ave between 46 - 48 St,50,(h),,,,
144 Ave EB between 94 - 92 St,50,"(a), (f), (h)",,,,
184 St SB between 60 - 57 Ave,50,(h),,,,
Millwoods Rd S WB btwn 69 St - Knottwood Rd E,50,(h),,,,
Yellowhead Tr EB at 215 St,100,"(a), (b), (c)",,,,
110 Ave WB between 159 - 160A St,30,(f),,,,
118 St NB between 129 - 130 Ave,30,(f),,,,
WB 86 Ave btwn 64 - 68A St,30,(f),,,,
WB 134 Ave between 42 - 43 St,30,(f),,,,
163 St NB between 89 - 93 Ave,50,"(b), (h)",,,,
142 St NB between Valleyview Dr - 95 Ave,60,"(c), (h)",,,,
NB Ottewell Rd btwn 94 - 94B Ave,30,(f),,,,
142 Ave WB between 122 - 127 St,50,(h),,,,
Griesbach Rd EB btwn 103 St-Griesbach School Rd,30,(f),,,,
82 St NB between 102 - 104 Ave,30,(f),,,,
131 St SB between 122B - 122A Ave,30,(f),,,,
EB Ellerslie Rd btwn James Mowatt Tr SW-Calgary Tr,60,(h),,,,
84 Ave EB between 156 - 154 St,30,(f),,,,
Riverbend Rd NB between 43 - 45 Ave,50,(h),,,,
12 Ave EB between 113 - 111 St,50,"(f), (h)",,,,
121 St NB between Kingsway Ave - Yellowhead Tr,60,(c),,,,
Whitemud Dr SB @ Quesnell Bridge,80,(a),,,,
64 Ave EB between 177 - 172 St,30,(f),,,,
106 St NB between 45 - 48 Ave,50,(c),,,,
SB Saddleback Rd btwn 27-25 Ave,30,(f),,,,
NB 102 St btwn 114 - 116 Ave,30,(f),,,,
SB 143 St btwn 56 - 53 Ave,30,(f),,,,
91 Ave WB between 154 - 155 St,30,(f),,,,
Millwoods Rd between 29 Ave - Lakewood Rd N,50,"(f), (h)",,,,
51 Ave WB between 116 - 122 St,50,(h),,,,
90 Ave EB between 58 - 57 St,60,(h),,,,
76 Ave EB between 114 - 113 St,30,(f),,,,
74 Ave WB between 115 - 118 St,30,(f),,,,
Anthony Henday Dr WB at Whitemud Creek,100,"(a), (b), (c)",,,,
EB 86 Ave btwn 68A - 64 St,30,(f),,,,
44 Avenue WB between Jackson Rd – 49 St,50,(h),,,,
NB 44 St between 39 - 41 Ave,50,(h),,,,
AHD EB @ Ray Gibbon Dr,100,"(a), (b), (c)",,,,
Anthony Henday Dr At Terwillegar Dr EB,100,(a),,,,
142 Ave EB between 24 - 23 St,30,(f),,,,
SB 156 St Between 84 - North of 81 Ave,30,(f),,,,
EB Cumberland Rd btwn 138 - 134 St,50,(h),,,,
36 Ave EB between 78 St - Millwoods Rd,30,(f),,,,
Ottewell Rd between 95 - 96A Ave,40,(h),,,,
EB 137 Ave between 63 - 61 St,60,(h),,,,
117 St NB between 102 - 103 Ave,30,(f),,,,
50 St SB between Fulton Rd - 101A Ave,50,"(c), (h)",,,,
NB 76 St btwn 38 Ave south of 40 Ave,30,(f),,,,
SB Parsons Rd SW btwn Anth Hend Dr-Ellerslie Rd SW,60,(h),,,,
EB 114 Ave btwn 104 - 102 St,30,(f),,,,
SB 48 St btwn 32 - 28 Ave,30,(f),,,,
WB 144 Ave Btwn 57 - 62 St,30,(f),,,,
WB Hemmingway Rd Btwn 201-204 St,30,(f),,,,
132 Ave WB between 119 - 121 St,50,"(b), (h)",,,,
WB 51 Ave Btwn 123 - 124 St,30,(f),,,,
Anthony Henday Dr WB at 184 St,100,(a),,,,
WB 121 Ave btwn W of 45 St - 48 St,30,(f),,,,
NB 159 St between Whitemud Dr - 87 Ave,60,"(c), (h)",,,,
135 Ave WB between 92 - 94 St,30,(f),,,,
Saddleback Rd WB between 111 St - 27 Ave,50,(h),,,,
EB 93A Ave btwn 67A St - 58 St,30,(f),,,,
Stony Plain Rd EB at 133 St,50,"(b), (h)",,,,
NB 48 St btwn 28 - 32 Ave,30,(f),,,,
Anthony Henday Dr EB west of Whitemud Creek,100,(a),,,,
Anthony Henday Dr  EB at 34 St,100,"(a), (b), (c)",,,,
EB Millwoods Rd S Btwn 80-74 St,30,(f),,,,
Rabbit Hill Rd NB between Leger Blvd-Ogilvie Blvd,60,"(a), (h)",,,,
Hermitage Rd WB between Henry Ave - 40 St,30,(f),,,,
143 St SB between 92 - 91 Ave,30,(f),,,,
145 Ave EB east of 127 St,30,(f),,,,
"Groat Rd SB, S of 107 Ave-Victioria Pk Rd",50,"(b), (c), (h)",,,,
34 St SB between Abbottsfield Rd - 120 Ave,30,(f),,,,
SB 95 St Btwn 174 - N of 171 Ave,30,(f),,,,
SB 118 St S of 152 - N of 145 Ave,30,(f),,,,
Silver Berry Rd btwn 21 - 20 St,50,(h),,,,
32A Ave between 106 - 108 St WB,30,(f),,,,
57 Ave EB between 113B - 113A St,30,(h),,,,
108 Ave WB between 102 - 103 St,30,(f),,,,
NB Leger Way btwn Leger Road - Lawrence Court,30,(f),,,,
97 St NB between 66 - 68 Ave,30,(f),,,,
WB Buena Vista Rd between 138 - 142 St,50,(h),,,,
SB Ottewell Rd btwn 94B - 94 Ave,30,(f),,,,
SB 102 St between 116 - 114 Ave,30,(f),,,,
129 Ave WB between 66 - 68 St,30,(f),,,,
WB 95 Ave Between 158 St. - 160 St.,50,(c),,,,
59A St NB between 159 - 159A Ave,30,(f),,,,
SB 117 St Btwn 144 - 142 Ave,30,(f),,,,
EB Blackmud Crk Dr SW btn James Mowatt Tr-Baker Close,30,(f),,,,
SB 97 St Btwn 75 - N of 73 Ave,30,(f),,,,
165 St SB between 95 - 93 Ave,30,(f),,,,
WB Lakewood Rd N Btwn 80 St - 31 Ave,30,(f),,,,
91 Ave EB between 167 - 165 St,30,(f),,,,
NB 189 St between 87 - 93 Ave,50,(h),,,,
107 Ave WB between 144 - 149 St,60,"(c), (h)",,,,
66 St SB between 149 - 144 Ave,60,(h),,,,
WB Ellerslie Rd SW between Calgary Tr - 109 St SW,60,(h),,,,
91 Ave WB between 165 - 167 St,30,(f),,,,
EB 102 Ave between 136 St - St Georges Cresc,50,(h),,,,
SB Leger Way btwn Lawrence Court - Leger Road,30,(f),,,,
154 St NB between 105 - 106 Ave,30,(f),,,,
SB 76 St btwn south of 40 Ave - 38 Ave,30,(f),,,,
44 St SB between Jackson Rd - Kulawy Dr N,50,(h),,,,
WB 139 Ave btwn 30 - 34 St,30,(f),,,,
142 St SB between 106 - 104 Ave,50,"(a), (h)",,,,
WB Mill Woods Rd S between 74 - 80 St,30,(f),,,,
NB Lewis Estates Bvd btn Potter Grn - Suder Grn Dr,60,(h),,,,
NB 142 St N of 80 - 85 Ave,30,(f),,,,
109 St NB between 108 – 110 Ave,50,"(a), (b), (f), (h)",,,,
107 St NB between 129 - 130 Ave,30,(f),,,,
WB Lakewood Rd S btwn 79 - 83 St,30,(f),,,,
SB Bellamy Hill between MacDonald Dr - 103 St,50,(h),,,,
38 Avenue WB between 41 – 44 Street,50,(h),,,,
SB 106 St btwn 40 - 36A Ave,30,(f),,,,
Yellowhead Trail at 50 St,80,(c),,,,
SB 142 St Btwn 85 - N of 80 Ave,30,(f),,,,
SB 182 St Btwn 87 - N of 84 Ave,30,(f),,,,
40 Ave WB between 115A - 119 St,30,(f),,,,
98 Ave EB btwn Ottewell Rd - 67A St,60,"(a), (h)",,,,
WB 43 Ave W of 111 - 114 St,30,(f),,,,
WB 40 Ave between 107 - 111 St,50,"(b), (c), (f), (h)",,,,
WB 132 Ave btwn 86 - 88 St,30,(f),,,,
145 Ave EB between 117 - 114A St,50,(h),,,,
EB 144 Ave between 74 - 69 St,30,(f),,,,
80 Ave WB between 97 - 98 St,30,(f),,,,
76 Ave WB between 85 - 87 St,40,"(a), (h)",,,,
Anthony Henday Dr WB at 91 St,100,"(a), (b), (c)",,,,
101 St SB between 117 - 115 Ave,50,"(b), (c)",,,,
91 St NB between Anthony Henday Dr - 23 Ave,70,"(b), (c)",,,,
WB 91 Ave Btwn 143 - 145 St,30,(f),,,,
WB 92 Ave Btwn 159 St - E of 163 St,30,(f),,,,
NB 90 St Btwn 132 - 135 Ave,30,(f),,,,
19A Ave EB between 57 - 56 St,30,(f),,,,
WB 110 Ave Btwn 159-161 St,30,(f),,,,
NB Rabbit Hill Rd NW btwn Leger Blvd - Oakes Gate,60,(h),,,,
NB 156 St N of 81 - 84 Ave,30,(f),,,,
Saddleback Rd NB between 25 - 27 Ave,30,(f),,,,
94B Ave WB btwn 61 - 68 St,40,(h),,,,
131 Ave EB between 119 - 117 St,30,(f),,,,
79 St SB between 95 - 94 Ave,30,(f),,,,
50 St SB between Matheson Way - 146 Ave,60,(h),,,,
NB 58 St between 92A - 93A Ave,30,(f),,,,
WB 76 Ave between 112 - 114 St,30,(f),,,,
130 Ave EB between 78 - 75 St,30,(f),,,,
SB 101 St between 108 - 107A Ave,50,(h),,,,
170 St NB between 114 - 117 Ave,60,"(b), (c)",,,,
Whitemud Dr WB west of 91 St,80,(a),,,,
WB 95 Ave Btwn 87-90 St,30,(f),,,,
Kirkness Rd EB between 31 St - 148 Ave,30,(f),,,,
108 Ave EB between 103 - 102 St,30,(f),,,,
Edwards Dr SB between 83 St SW - 6 Ave SW,50,(h),,,,
SB 62 St btwn 145 - 144 Ave,30,(f),,,,
140 Ave WB between 88A - 90 St,30,(f),,,,
NB 149 St. Between 80 - 84 Ave,60,(h),,,,
Sask Dr EB between 107 -105 St,50,(h),,,,
46 St SB between 106 - 105A Ave,30,(f),,,,
NB 87 St btwn 77 - 79 Ave,30,(f),,,,
NB 23 St N of 139 - 142 Ave,30,(f),,,,
79 St NB between 93A - 95 Ave,50,(h),,,,
NB 99 St between 89 - 91 Ave,50,(h),,,,
NB 139 St Btwn 115 - 116 Ave,30,(f),,,,
63 Ave WB between 126 - 127 St,30,(f),,,,
SB 163 St between 99 - 96A Ave,50,(b),,,,
WB 40 Ave between 115 - 117 St,50,"(c), (f), (h)",,,,
Anthony Henday Dr WB at 111 St,100,(a),,,,
Knottwood Rd S WB between 75 - 77 St,30,(f),,,,
SB 165 St btwn N of 97 - 95 Ave,30,(f),,,,
Millwoods Rd E SB between 38 - 36 Ave,30,(f),,,,
Silver Berry Rd btwn 29A - 32 Ave,50,(h),,,,
Anthony Henday Dr WB at 50 St,100,(a),,,,
127 St NB between 135 - 137 Ave,50,(b),,,,
41 Ave between 97-92 St,50,"(c), (h)",,,,
135 Ave EB between 38 - 34 St,30,(f),,,,
40 St SB between 137 - 132 Ave,50,(h),,,,
NB 58 St btwn 92B - 94 Ave,30,(f),,,,
WB Beaumaris Rd W of 161 Ave - 109 St,30,(f),,,,
66 St SB north of 167 Ave,60,(c),,,,
EB Cumberland Rd btwn 139 St - W of 134 St,30,(f),,,,
Yellowhead Tr WB at Clover Bar Bridge,100,"(a), (h)",,,,
Whitemud Dr WB east of 17 St,80,"(b), (c)",,,,
SB Bulyea Rd Btwn Burton Rd - Buchanan Rd,30,(f),,,,
WB 82 Ave between 91 - 95A St,50,"(c), (h)",,,,
93 Ave EB between 180 - 179 St,30,(f),,,,
130 Ave WB between 75 - 78 St,30,(f),,,,
113A St SB between 132 - 130 Ave,50,(h),,,,
97 St SB between 68 - 66 Ave,30,(f),,,,
NB Capilano St Btwn 107 Ave - 65 St,30,(f),,,,
NB Hemingway Rd Btwn Hardy Pt - S of Hodgins Rd,30,(f),,,,
Taylor Grn NB btn Terwillegar Comm-Towne Ctr Blvd,30,(f),,,,
107 St SB between 51 - 47 Ave,30,(f),,,,
144 Ave EB between 63 - 61 St,50,"(f), (h)",,,,
NB 50 St between Brintnell Blvd - 165 Ave,60,(h),,,,
95 Ave EB between 154 - 152 St,50,"(f), (h)",,,,
Anthony Henday Dr SB at Callingwood Rd (62 Ave),100,(a),,,,
Anthony Henday Dr WB at 34 St,100,"(a), (b), (c)",,,,
WB 114 Ave btwn 102 - 104 St,30,(f),,,,
72 St SB between 149A - 149 Ave,30,(f),,,,
SB Hemingway Rd S of 59 Ave - Hardy Pt,30,(f),,,,
EB 132 Ave between 113A - 109 St,30,(f),,,,
38 St NB between 19 - 20 Ave,30,(f),,,,
WB 93A Ave btwn 58 St - 67A St,30,(f),,,,
51 Ave EB between 114 - 112 St,50,(h),,,,
WB 106 Ave between 65 - 67 St,50,(h),,,,
137 Ave EB between 79 - 74 St,60,(b),,,,
NB Anthony Henday Dr btwn 153 Ave - Manning Dr,100,(a),,,,
128 Ave WB between 45 - 46 St,30,(f),,,,
WB 107 Ave between 107A Ave - 34 St,30,(h),,,,
76 Ave WB between 173 - 176 St,50,(h),,,,
WB 84 Ave between 184 - 187 St,50,(h),,,,
Anthony Henday Dr EB at 66 St,100,(a),,,,
Hemingway Rd NB between Hardy Point - 59 Ave,30,(f),,,,
SB 54 St Btwn 122-121 Ave,30,(f),,,,
NB 97 St between 115 -117 Ave,50,(b),,,,
NB Groat Rd btwn Victoria Park Rd - 107 Ave,50,(c),,,,
Anthony Henday Dr SB south of 100 Ave,100,"(a), (b), (c)",,,,
Silver Berry Rd btwn 32 - 29A Ave,50,(h),,,,
144 Ave WB between 54 - 57 St,50,"(f), (h)",,,,
139 St SB between 109A - 109 Ave,30,(f),,,,
EB 161A Ave btwn 76 - 74 St,30,(f),,,,
Rutherford Rd SW NB btwn 16 - 14 Ave SW,30,(f),,,,
WB 80 Ave btwn 163 - 166 St,30,(f),,,,
170 St NB between 109 - 110 Ave,60,"(b), (c)",,,,
EB Kirkness Rd Btwn 31 St - 151 Ave,30,(f),,,,
142 St NB between 80 - 85 Ave,30,(f),,,,
NB 106 St between 56 Ave - 107 St,50,(h),,,,
Anthony Henday Dr – N of Callingwood Rd NB,100,(a),,,,
Silver Berry Road between 29 - 32 St,50,(h),,,,
119 St NB between 134 - 135 Ave,30,(f),,,,
117 St SB between 41 - 40 Ave,30,(f),,,,
135 Ave WB between 34 - 38 St,30,(f),,,,
Rhatigan Rd E NB btwn Rehwinkel Rd - Riverbend Rd,30,(f),,,,
118 Ave EB between 87 - 85 St,50,(h),,,,
McLeod Rd EB between 59 - 57 St,30,(f),,,,
WB Stony Plain Rd between 180 - 182 St,60,(a),,,,
WB 130 Ave W of 75 - 78 St,30,(f),,,,
139 Ave WB between 117 - 119 St,50,(h),,,,
50 St NB between Eleniak Rd - 68 Ave,60,"(a), (h)",,,,
SB 97 St between 116 - 114 Ave,50,(b),,,,
Silver Berry Rd WB between 24 - 32 St,50,(h),,,,
Stony Plain Rd WB between 133 - 134 St,50,"(b), (h)",,,,
