Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2679,WB Hermitage Rd between Homestead Cr - Henry Ave,50,"(c), (h)",53.58444400,-113.40252024,"(53.584444001879355, -113.40252024455305)"
2561,NB 105 St between 97 - 98 Ave,50,(h),53.53485274,-113.50109144,"(53.53485274399985, -113.50109144342659)"
2752,WB 95 Ave between 165 - 167 St,50,"(f), (h)",53.53169708,-113.60891877,"(53.53169708278609, -113.60891877232737)"
2544,NB 101 St between 115 - 117 Ave,50,(b),53.56729845,-113.49371470,"(53.567298446460306, -113.49371469993817)"
2647,EB 144 Ave between 57 - 54 St,50,"(f), (h)",53.60683200,-113.42645384,"(53.60683200388742, -113.42645384203917)"
2616,SB 113A St between 132 - 130 Ave,50,(h),53.59069563,-113.51654976,"(53.590695625248856, -113.51654976357032)"
2688,WB 90 Ave between 57 - 58 St,60,(h),53.52345407,-113.42384877,"(53.523454072678604, -113.42384876547351)"
2769,EB 40 Ave between 111 - 107 St,50,"(a), (f), (h)",53.47573238,-113.51295346,"(53.475732377956675, -113.51295346249019)"
2472,WB 132 Ave between 103 - 105 St,50,"(a), (h)",53.59206171,-113.49899841,"(53.59206170652085, -113.49899841427775)"
2563,WB 39 Ave between 93 - 97 St,50,"(b), (c)",53.47411071,-113.47638952,"(53.4741107063277, -113.47638952136572)"
2352,EB 94B Ave btwn 68A - 61 St,40,(h),53.53390600,-113.43041314,"(53.533905999577, -113.43041314212095)"
2646,WB 144 Ave between 54 - 57 St,50,"(f), (h)",53.60696439,-113.42647754,"(53.60696439323432, -113.42647753576496)"
2568,SB 101 St between 117 - 115 Ave,50,"(b), (c)",53.56729845,-113.49371470,"(53.567298446460306, -113.49371469993817)"
2687,SB Towne Ctr Blvd btwn Tomlinson Way-Tompkins Wynd,50,(h),53.45219130,-113.58050094,"(53.452191296999644, -113.58050093978656)"
2778,SB 104 St between 78 - 76 Ave,50,(c),53.51329401,-113.49764683,"(53.51329400701608, -113.49764683242655)"
2588,WB 51 Ave between 114 - 116 St,50,(h),53.48832328,-113.52787750,"(53.4883232767095, -113.52787750170776)"
2668,EB 176 Ave between 112 - 107 St,50,(h),53.63973398,-113.51214673,"(53.63973398037887, -113.51214672835006)"
2649,WB 176 Ave between 97 - 100 St,50,(h),53.63876132,-113.49579578,"(53.6387613214302, -113.4957957824209)"
7117,NB 170 St between 109 - 110 Ave,60,"(b), (c)",53.55689727,-113.61519067,"(53.55689726799364, -113.61519066743405)"
2630,WB 139 Ave between 117 - 119 St,50,(h),53.60141339,-113.52349919,"(53.601413386715265, -113.52349919038123)"
2691,EB 90 Ave between 71 - 68 St,60,(h),53.52518581,-113.43415816,"(53.52518580868095, -113.43415815667548)"
2790,SB 84 St between 105 - 102 Ave,50,"(a), (h)",53.54553273,-113.45713558,"(53.54553273350167, -113.45713557534033)"
2705,SB 97 St between 167 - 153 Ave,70,(b),53.62164365,-113.49201643,"(53.62164365069956, -113.49201643000688)"
2638,NB 50 St between 84 - 90 Ave,60,(h),53.52071876,-113.41843275,"(53.52071875780503, -113.41843275110577)"
2770,WB 40 Ave between 107 - 111 St,50,"(b), (c), (f), (h)",53.47586251,-113.51295287,"(53.475862508727175, -113.51295287192254)"
2787,EB 132 Ave between 66 St - Fort Rd,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
2569,NB 156 St between 92 - 94 Ave,50,"(a), (h)",53.52837963,-113.59032512,"(53.52837963329957, -113.5903251192683)"
2650,EB 176 Ave between 100 - 97 St,50,(h),53.63867119,-113.49583402,"(53.63867119341405, -113.49583401854203)"
7084,SB 40 St between 137 - 132 Ave,50,(h),53.59520439,-113.40245086,"(53.5952043943003, -113.40245085773122)"
2518,SB 109 St between 110 - 108 Ave,50,"(a), (b), (f), (h)",53.55486531,-113.50852235,"(53.55486530627489, -113.50852234993984)"
2452,EB 144 Avenue between 79 - 77 Street,50,(h),53.60684951,-113.46181682,"(53.60684951102464, -113.46181682352339)"
2587,EB 51 Ave between 116 - 114 St,50,(h),53.48821440,-113.52787779,"(53.48821439609231, -113.52787778827974)"
2632,EB 106 Ave between Fulton Dr - 65 St,50,(h),53.54925764,-113.43199190,"(53.549257641684676, -113.43199190399541)"
387,SB 104 St Between Univ. Ave. - 73 Ave.,50,"(f), (h)",53.51047043,-113.49767867,"(53.510470430849715, -113.49767866621947)"
7054,WB 4 Ave SW btwn 50 - 52 St,50,(h),53.42862244,-113.42045222,"(53.42862243848165, -113.4204522152577)"
2692,EB 90 Ave between 73 - 71 St,60,(h),53.52518787,-113.43834454,"(53.52518787048792, -113.43834453770761)"
2747,WB 87 Ave between 119 St - Sask Dr,50,(h),53.52296101,-113.53828283,"(53.52296101325645, -113.53828283007503)"
7175,NB 189 St between 87 - 93 Ave,50,(h),53.52492080,-113.64907639,"(53.524920801814204, -113.64907639210107)"
2478,WB 76 Ave between 85 - 87 St,40,"(a), (h)",53.51229132,-113.45951129,"(53.512291320006966, -113.45951128999904)"
2469,EB 132 Ave between 123 - 121 St,50,"(b), (h)",53.59216642,-113.53195635,"(53.59216641826184, -113.53195634956019)"
2690,WB 90 Ave between 68 - 71 St,60,(h),53.52527888,-113.43415888,"(53.52527888259998, -113.43415887698822)"
7094,SB 121 St between Yellowhead Tr - Kingsway Ave,60,(c),53.57714222,-113.53072241,"(53.57714221752638, -113.53072241132087)"
7220,SB Sask Dr between 87 - University Ave,50,"(c), (h)",53.52091006,-113.53885643,"(53.52091006427994, -113.53885642860251)"
7055,EB 4 Ave SW btwn 52 - 50 St,50,(h),53.42862244,-113.42046175,"(53.428622437630885, -113.42046174696797)"
2655,EB 95 Ave between 154 - 152 St,50,"(f), (h)",53.53153385,-113.58505458,"(53.53153385142836, -113.58505457620178)"
2711,NB 79 St between 103 - 105 Ave,50,(h),53.54633354,-113.44929002,"(53.54633354164507, -113.44929002424692)"
2748,SB 50 St between 124 - 122 Ave,50,(h),53.57833203,-113.41837579,"(53.578332030686326, -113.4183757852499)"
2494,SB 142 St between 106 - 104 Ave,50,"(a), (h)",53.54745783,-113.56575002,"(53.54745783435487, -113.56575002307038)"
2530,WB 144 Ave between 77 - 79 St,50,(h),53.60697802,-113.46181613,"(53.60697801731469, -113.46181612937797)"
2768,WB Buena Vista Rd between 138 - 142 St,50,(h),53.51939604,-113.56257128,"(53.519396036768505, -113.56257127611673)"
7006,NB Anth. Henday Dr. south of N. Sask River,100,(a),53.45697847,-113.61071730,"(53.45697846602743, -113.61071730155143)"
7221,SB St Albert Tr between 134 - 132 Ave,60,"(a), (c)",53.59348307,-113.56879549,"(53.593483072034445, -113.56879548728857)"
2714,NB 97 St between 112 - 114 Ave,50,(b),53.56267597,-113.49170282,"(53.562675973611135, -113.49170282419762)"
2631,EB 139 Ave between 119 - 117 St,50,(h),53.60141339,-113.52349919,"(53.601413386715265, -113.52349919038123)"
2689,EB 90 Ave between 58 - 57 St,60,(h),53.52336651,-113.42392515,"(53.52336651068132, -113.42392515286636)"
7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,"(b), (c), (h)",53.54560465,-113.54278674,"(53.545604650721856, -113.54278674412059)"
2543,EB 82 Ave between 89 - 87 St,50,(c),53.51802663,-113.46439597,"(53.518026625881376, -113.4643959671418)"
2788,WB 132 Ave between Fort Rd - 66 St,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
2797,SB Meadowlark Rd between 90 - 88A Ave,50,(h),53.52256231,-113.59376150,"(53.522562311365846, -113.59376150119178)"
2592,NB 170 St between 109 - 110 Ave,60,"(b), (c), (h)",53.55689727,-113.61519067,"(53.55689726799364, -113.61519066743405)"
2671,SB 163 St between 93 - 92 Ave,50,"(b), (f), (h)",53.52753902,-113.60274611,"(53.527539024108236, -113.60274610892697)"
7044,EB Yellowhead Tr at 215 St,100,"(a), (b), (c)",53.57004750,-113.68955622,"(53.57004750075467, -113.68955622353262)"
247,WB Yellowhead Trail at 50 St,80,(c),53.58248862,-113.41881805,"(53.58248862054616, -113.41881805390678)"
2620,SB 50 St between Fulton Rd - 101A Ave,50,"(c), (h)",53.54501797,-113.41870308,"(53.545017973609056, -113.41870307708544)"
2795,NB 159 St between Whitemud Dr - 87 Ave,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
2552,SB 106 St between 48 - 45 Ave,50,(c),53.48475897,-113.50440690,"(53.4847589744677, -113.50440690174523)"
2722,SB 101 St between 108 - 107A Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
2528,EB 51 Ave between 122 - 116 St,50,(h),53.48823317,-113.53622219,"(53.488233168359486, -113.53622219056896)"
2712,SB 79 St between 105 - 103 Ave,50,(h),53.54633354,-113.44929002,"(53.54633354164507, -113.44929002424692)"
301,WB Whitemud Dr. at Rainbow Valley Bridge,80,(a),53.48260935,-113.55484121,"(53.48260934952588, -113.55484121000502)"
7075,WB Yellowhead Tr at 7710 Yellowhead Tr,70,"(b), (c)",53.58250717,-113.45958783,"(53.58250716540834, -113.45958783296466)"
2756,WB 82 Ave between 91 - 95A St,50,"(c), (h)",53.51807394,-113.47154945,"(53.51807393531409, -113.47154944910467)"
2720,EB 107 Ave between 113 - 110 St,50,(h),53.55140855,-113.51302475,"(53.55140855278234, -113.51302475188886)"
2716,NB 97 St between 108 - 110 Ave,50,(h),53.55546299,-113.49091409,"(53.555462988897744, -113.49091409429475)"
7066,SB Wayne Gretzky Dr btw Ada Blvd-Capilano Bridge,80,(a),53.55865978,-113.44107207,"(53.558659779257994, -113.44107207180616)"
7196,WB Anthony Henday Dr between 18 - 66 St,100,"(a), (b), (c)",53.63757881,-113.40232135,"(53.637578811726904, -113.40232134694827)"
2701,EB 112 Ave btwn 55 - 53 St,50,(h),53.56725996,-113.42460532,"(53.56725995687313, -113.42460531605064)"
2502,WB 82 Ave between 87 - 89 St,50,(c),53.51802814,-113.46287313,"(53.5180281449368, -113.46287312617724)"
7059,NB Wayne Gretzky Dr. -  Capilano Bridge-Ada Blvd,80,(a),53.55870355,-113.44088065,"(53.55870355152622, -113.44088064915107)"
2645,SB 142 St between 96 - 95 Ave,60,(h),53.53257774,-113.56556903,"(53.53257773949817, -113.56556902926202)"
2719,WB 107 Ave between 110 - 113 St,50,(h),53.55140855,-113.51302475,"(53.55140855278234, -113.51302475188886)"
2577,EB 144 Ave between 94 - 92 St,50,"(a), (f), (h)",53.60602927,-113.48376833,"(53.60602926817447, -113.4837683258007)"
7081,EB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64668383,-113.48927634,"(53.64668382716076, -113.48927634261672)"
2727,EB 111 Ave between 113 - 110 St,60,(b),53.55882574,-113.51302431,"(53.558825735893926, -113.51302431393195)"
2744,WB 127 Ave between 88 - 90 St,60,(h),53.58479866,-113.47792261,"(53.58479866274416, -113.47792260832502)"
2729,EB Princess Elizabeth Ave between 106 - 102 St,50,(c),53.56806178,-113.49916298,"(53.56806178253305, -113.49916297990252)"
7016,WB Whitemud Dr east of 17 Street,80,"(b), (c)",53.48260872,-113.36274539,"(53.48260872136551, -113.36274538644595)"
2445,NB 142 St btwn 104A - 105 Ave,50,"(a), (h)",53.54725370,-113.56574834,"(53.54725370471114, -113.56574833928225)"
7169,EB Anthony Henday Dr between 66 St - Manning Dr,100,"(a), (b), (c)",53.64075388,-113.41656547,"(53.64075388187443, -113.41656547211505)"
7018,NB Anthony Henday Dr.  @ Yellowhead Tr.,100,"(a), (b), (c)",53.57428873,-113.66123606,"(53.574288729218694, -113.66123605661255)"
2589,EB 51 Ave between 114 - 112 St,50,(h),53.48819509,-113.52190308,"(53.48819508766002, -113.52190308158643)"
7192,WB Whitemud Dr between North Sask River - 149 St,80,(h),53.51093366,-113.56929740,"(53.51093365865445, -113.56929739675176)"
2757,SB 163 St between 99 - 96A Ave,50,(b),53.53571167,-113.60275402,"(53.53571166825143, -113.60275402414275)"
2739,NB 66 St between 132 - 134 Ave.,50,(h),53.59383320,-113.44285006,"(53.59383320324485, -113.44285005985127)"
7095,NB 121 St between Kingsway Ave - Yellowhead Tr,60,(c),53.57687194,-113.53053101,"(53.57687194294137, -113.53053101357578)"
2796,SB 159 St between 87 Ave - Whitemud Dr,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
7005,EB Yellowhead Trail @ Anthony Henday Dr,100,"(a), (b), (c)",53.57357317,-113.66018743,"(53.5735731656759, -113.66018742546709)"
7017,SB Anthony Henday Dr. @ Yellowhead Tr.,100,"(a), (b), (c)",53.57298521,-113.66198874,"(53.5729852141935, -113.66198873657481)"
7082,WB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64716486,-113.48933364,"(53.64716486378753, -113.4893336448136)"
7206,WB Stony Plain Rd between 178 - 182 St,60,(c),53.54139729,-113.63189805,"(53.5413972913489, -113.63189805198344)"
2669,NB 127 St between 135 - 137 Ave,50,(b),53.59797756,-113.54117476,"(53.59797755575344, -113.54117475648204)"
2738,SB 66 St between Delwood Rd - 132 Ave,50,(h),53.59390399,-113.44305833,"(53.5939039853878, -113.44305832894702)"
2723,NB 95 St between 112 - 114 Ave,50,(h),53.56265622,-113.48715003,"(53.562656221220564, -113.48715002601968)"
7013,EB Anthony Henday Dr @ Ray Gibbon Dr,100,"(a), (b), (c)",53.59113854,-113.64613646,"(53.5911385449838, -113.64613646310981)"
2745,WB 127 Ave between 92 - 93 St,60,(h),53.58477414,-113.48367366,"(53.58477414147545, -113.48367366377676)"
2724,SB 95 St between 114 - 112 Ave,50,(h),53.56265622,-113.48715003,"(53.562656221220564, -113.48715002601968)"
